Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
10-07-2012,912,924.5,935,916.25,925,926.45,923.18,5499
11-07-2012,926.45,920.15,942.65,920.15,939.8,939.1,938.84,5156
12-07-2012,939.1,930,965,930,964.5,961.35,952.66,16228
13-07-2012,961.35,971,972,952.1,965,966.15,965.31,6967
16-07-2012,966.15,958,983,958,963,963.25,968.65,13081
17-07-2012,963.25,968,1010,966,968.5,970.75,985.29,121714
18-07-2012,970.75,981.1,995,972,990,987.7,984.99,25187
19-07-2012,987.7,978,1024.85,978,1020,1019.85,1012.01,38786
20-07-2012,1019.85,1019.95,1024.9,995.3,1006,1007.9,1011.04,10977
23-07-2012,1007.9,1001,1074.8,991.3,1053.05,1054.65,1034.64,30312
24-07-2012,1054.65,1054.65,1089.95,1049,1070,1080,1068.8,85882
25-07-2012,1080,1090,1090,1058.4,1070,1069.25,1069.33,18796
26-07-2012,1069.25,1057.5,1069.7,1037.2,1047.7,1047.65,1057.35,4195
27-07-2012,1047.65,1050,1070,1009.05,1029.9,1027.6,1032.94,10164
30-07-2012,1027.6,1028.05,1050,1005.4,1015.05,1020.1,1037.37,8658
31-07-2012,1020.1,1012.35,1045,1001,1024,1037.7,1027.42,11591
01-08-2012,1037.7,1035,1048.75,1022,1043,1044.75,1034.64,4697
02-08-2012,1044.75,1035,1050,1033,1041,1043.1,1042.54,3345
03-08-2012,1043.1,1031.95,1060,1031.9,1060,1049.2,1043.96,3988
06-08-2012,1049.2,1059.95,1059.95,1030.05,1039,1035.75,1044.51,11755
07-08-2012,1035.75,1033.15,1068,1033,1057,1064.05,1059.59,15620
08-08-2012,1064.05,1065,1098.95,1062,1064,1065.65,1080.51,11012
09-08-2012,1065.65,1069,1119,1066.35,1110,1106.35,1098.9,39178
10-08-2012,1106.35,1115,1130.15,1101.1,1112,1111,1116.77,24514
13-08-2012,1111,1109.95,1109.95,1086.05,1090,1089.85,1096.08,14249
14-08-2012,1089.85,1080.7,1115,1029.95,1077,1082.35,1090.01,11075
16-08-2012,1082.35,1065.5,1105.8,1065.45,1092,1095.7,1096.81,19349
17-08-2012,1095.7,1104.95,1105.8,1076.25,1086.9,1081.35,1091.07,29637
21-08-2012,1081.35,1081.35,1093.8,1044.9,1062,1075.65,1068.74,34551
22-08-2012,1075.65,1093.95,1093.95,1070,1087.8,1081.6,1080.41,6591
23-08-2012,1081.6,1041,1092.5,986.4,1081.1,1080.95,1081.49,8291
24-08-2012,1080.95,1073.1,1090,1073.1,1090,1081.2,1080.57,5875
27-08-2012,1081.2,1090,1095,1069.95,1081.05,1084.9,1087.22,9855
28-08-2012,1084.9,1076,1085,1063.5,1079.95,1065.4,1071.59,17224
29-08-2012,1065.4,1084.95,1085,1026.5,1026.5,1037.6,1051.89,19921
30-08-2012,1037.6,1031.25,1062.95,1028,1062.95,1058.2,1055.4,20430
31-08-2012,1058.2,1059,1080.9,1041.65,1055,1049.05,1054.6,11681
03-09-2012,1049.05,1047.95,1052,1038,1040.3,1047.45,1040.14,103905
04-09-2012,1047.45,1044.8,1074.95,1042,1054,1053.95,1057.75,14046
05-09-2012,1053.95,1067.45,1068,1045.05,1050,1046.9,1054.14,71354
06-09-2012,1046.9,1047.25,1062,1040.05,1040.05,1044.25,1049.68,8219
07-09-2012,1044.25,1046.75,1071.8,1044,1070,1070.55,1062.49,7992
08-09-2012,1070.55,1070,1075,1057,1057.25,1062.3,1064.84,1578
10-09-2012,1062.3,1057,1068.75,1040,1049.8,1045.65,1049.9,10798
11-09-2012,1045.65,1045.5,1078.95,1045.5,1077,1070.3,1065.4,13993
12-09-2012,1070.3,1070,1108.75,1070,1095.25,1098.85,1092.62,10640
13-09-2012,1098.85,1099,1115.7,1076.85,1078.8,1081.8,1098.81,9935
14-09-2012,1081.8,1094.05,1109.55,1085.7,1085.7,1092.55,1099.72,18408
17-09-2012,1092.55,1081.95,1152.4,1081.95,1123,1120.25,1121.23,23825
18-09-2012,1120.25,1104,1130,1101,1101,1105.95,1116.45,11393
20-09-2012,1105.95,1080.05,1119.9,1078,1094.75,1093.65,1089.93,7295
21-09-2012,1093.65,1095.95,1110.8,1078.2,1093,1090.85,1099.24,64019
24-09-2012,1090.85,1091.5,1125,1091.5,1111.45,1114.7,1108.2,9943
25-09-2012,1114.7,1120.75,1164.6,1120,1134,1128.7,1133.14,38939
26-09-2012,1128.7,1115.05,1179.85,1115,1142,1162.5,1159.23,21873
27-09-2012,1162.5,1160,1170,1145.05,1165.1,1165.8,1161.39,20568
28-09-2012,1165.8,1165.05,1192,1165.05,1180,1179.75,1183.13,6104
01-10-2012,1179.75,1185,1202,1179,1194.8,1191.4,1193.41,15440
03-10-2012,1191.4,1195.85,1205.95,1175.15,1182.5,1179,1189.28,9883
04-10-2012,1179,1199.95,1213.35,1170,1176.6,1182.15,1185.28,12032
05-10-2012,1182.15,1209.55,1232,1190.05,1195,1196.25,1199.59,19174
08-10-2012,1196.25,1180.5,1204.8,1172.3,1177,1175.95,1187.6,10233
09-10-2012,1175.95,1180.05,1187.1,1175,1180,1180.35,1179.65,6060
10-10-2012,1180.35,1170.05,1211,1162.45,1205,1201.05,1188.06,21673
11-10-2012,1201.05,1205.1,1213.9,1167.05,1201,1200.05,1187.6,33540
12-10-2012,1200.05,1213.95,1229,1200,1203,1204.85,1208.03,4385
15-10-2012,1204.85,1235,1235,1180.85,1205,1206.35,1206.49,8290
16-10-2012,1206.35,1205.1,1230,1205.05,1229.9,1224.2,1220.02,12603
17-10-2012,1224.2,1232.05,1256,1232.05,1253,1247.9,1243.68,17759
18-10-2012,1247.9,1251,1298.25,1251,1296.75,1290.9,1283.48,42555
19-10-2012,1290.9,1292,1306.9,1251,1275,1270.9,1281.86,96936
22-10-2012,1270.9,1273,1304,1260,1300,1299.45,1293.92,81888
23-10-2012,1299.45,1301,1319,1295.1,1302.8,1302.9,1308.6,18282
25-10-2012,1302.9,1299,1336.95,1298.05,1331.95,1329.7,1308.42,78482
26-10-2012,1329.7,1349.2,1349.2,1299,1325,1303.5,1332.95,59584
29-10-2012,1303.5,1330,1352,1308.3,1312,1332.2,1327.14,42741
30-10-2012,1332.2,1327,1333.5,1262.5,1275.1,1274.55,1309.07,16918
31-10-2012,1274.55,1270,1324.6,1270,1280.2,1284.75,1288.71,13496
01-11-2012,1284.75,1281.1,1309,1271.35,1292,1291,1285.56,17343
02-11-2012,1291,1286.05,1300,1282,1285,1288.65,1290.48,4422
05-11-2012,1288.65,1291,1294.55,1235,1269.9,1261.65,1263.09,9941
06-11-2012,1261.65,1261.7,1305,1254.95,1300,1300,1279,15442
07-11-2012,1300,1280.1,1330,1280.05,1321.5,1322.8,1309.4,25239
08-11-2012,1322.8,1300.85,1315,1293,1306.8,1303.4,1302.75,12646
09-11-2012,1303.4,1310,1318.5,1302.05,1314.8,1309.85,1311.71,9158
12-11-2012,1309.85,1301.6,1389,1301.6,1363,1371.15,1350.67,24329
13-11-2012,1371.15,1378,1386.85,1370,1375,1378.15,1377.8,3168
15-11-2012,1378.15,1372.9,1387,1364.7,1372,1369.9,1373.14,55595
16-11-2012,1369.9,1384.5,1384.6,1354,1360,1358.85,1365.61,18921
19-11-2012,1358.85,1380,1380,1331.65,1349,1346.6,1348.4,6656
20-11-2012,1346.6,1350,1359.5,1335,1349.95,1345.25,1347.57,8874
21-11-2012,1345.25,1348,1350,1320.05,1339,1336.9,1344.11,18611
22-11-2012,1336.9,1337,1347,1320.05,1320.05,1327.25,1331.58,16870
23-11-2012,1327.25,1334,1375,1334,1362.05,1364.9,1362.17,10424
26-11-2012,1364.9,1450,1450,1356.65,1363,1362.75,1369.52,17633
27-11-2012,1362.75,1385.75,1385.75,1362.05,1369.95,1368.2,1365.93,20921
29-11-2012,1368.2,1388.7,1389,1346,1362,1361.95,1358.15,222144
30-11-2012,1361.95,1380,1384,1365.05,1377,1377.15,1377.25,20439
03-12-2012,1377.15,1370,1385,1360,1370,1369.8,1362.25,77757
04-12-2012,1369.8,1370,1380,1357.7,1365,1364.75,1365.29,9477
05-12-2012,1364.75,1374.95,1380,1355,1356.1,1363.85,1366.17,8168
06-12-2012,1363.85,1380,1380,1320.1,1342,1346.55,1350.54,7984
07-12-2012,1346.55,1337.05,1359.65,1321.1,1329,1333.8,1341.93,21177
10-12-2012,1333.8,1333.8,1333.95,1309,1320,1315.85,1319.83,22085
11-12-2012,1315.85,1325,1325.05,1300.1,1308.05,1310.95,1312.15,26141
12-12-2012,1310.95,1290,1311,1290,1303,1303.45,1304.19,15889
